node_id,tipo,etiqueta,handle,comentarios,videos_unicos,canales_unicos,sentimiento_medio,visualizaciones,autores_unicos,categoria,id_original,componente,grado
autor::UCGGHbtfbbe0o68etrOf0qxw,autor,@karensussetteleonvargas9794,/@karensussetteleonvargas9794,1,1.0,1.0,0.0,,,,UCGGHbtfbbe0o68etrOf0qxw,1,1
autor::UCGX_UbAQOXGZknv5iqklwTA,autor,@ronaldgarcia8522,/@ronaldgarcia8522,1,1.0,1.0,0.0,,,,UCGX_UbAQOXGZknv5iqklwTA,1,1
autor::UCGZMgmM92E3njyXNe9-kjAQ,autor,@pasionpornada,/@pasionpornada,1,1.0,1.0,0.0,,,,UCGZMgmM92E3njyXNe9-kjAQ,2,1
autor::UCGj2v6Gl5bN8NSrzJMXS-CA,autor,@juliogutierrez492,/@juliogutierrez492,1,1.0,1.0,0.0,,,,UCGj2v6Gl5bN8NSrzJMXS-CA,1,1
autor::UCGm3gRBEHGRJYmtCryZLtDw,autor,@JoséLopez-g6k,/@Jos%C3%A9Lopez-g6k,1,1.0,1.0,0.0,,,,UCGm3gRBEHGRJYmtCryZLtDw,1,1
autor::UCGqKxQS-z3NZzZF-2w338AA,autor,@samuelaguilar529,/@samuelaguilar529,1,1.0,1.0,1.0,,,,UCGqKxQS-z3NZzZF-2w338AA,3,1
autor::UCGzXwyCzMzGmjmCbH3Hg01Q,autor,@FidelZacarias-ph7dy,/@FidelZacarias-ph7dy,1,1.0,1.0,0.0,,,,UCGzXwyCzMzGmjmCbH3Hg01Q,1,1
autor::UCHGd14aYuZZShLD73dkk6mg,autor,@noemiherrera3152,/@noemiherrera3152,1,1.0,1.0,0.0,,,,UCHGd14aYuZZShLD73dkk6mg,5,1
autor::UCHMQ_lDhibZ-XZ_3fo6oxwg,autor,@crislexrubi4387,/@crislexrubi4387,1,1.0,1.0,1.0,,,,UCHMQ_lDhibZ-XZ_3fo6oxwg,3,1
autor::UCHTGCgY2l-DQJIvlA_cpa_Q,autor,@virgiliogarcia3039,/@virgiliogarcia3039,3,2.0,2.0,0.0,,,,UCHTGCgY2l-DQJIvlA_cpa_Q,1,2
autor::UCHbwIx9pmQuf7i-4_xO2EpA,autor,@caminoseternos752,/@caminoseternos752,1,1.0,1.0,1.0,,,,UCHbwIx9pmQuf7i-4_xO2EpA,1,1
autor::UCHhHUjaMAZ8SiXdCUCj9DkQ,autor,@fredymendez1786,/@fredymendez1786,2,1.0,1.0,0.0,,,,UCHhHUjaMAZ8SiXdCUCj9DkQ,1,1
autor::UCHu8x4MVkayU6VgwVKd--MQ,autor,@Hernandez-i1o,/@Hernandez-i1o,1,1.0,1.0,0.0,,,,UCHu8x4MVkayU6VgwVKd--MQ,1,1
autor::UCIUhbSCy3-SGRe5UtqM4fzQ,autor,@jeanmorales1677,/@jeanmorales1677,1,1.0,1.0,-1.0,,,,UCIUhbSCy3-SGRe5UtqM4fzQ,3,1
autor::UCIXLDYqR_syskKRJy_x9W9Q,autor,@carlitosramirez4739,/@carlitosramirez4739,1,1.0,1.0,0.0,,,,UCIXLDYqR_syskKRJy_x9W9Q,1,1
autor::UCIgoiXdIKJyUGmUoH2Lxdzg,autor,@susievidal4134,/@susievidal4134,1,1.0,1.0,0.0,,,,UCIgoiXdIKJyUGmUoH2Lxdzg,2,1
autor::UCIp19h9igblA2YKfSLPDAug,autor,@JoseReyes-rn6sh,/@JoseReyes-rn6sh,1,1.0,1.0,0.0,,,,UCIp19h9igblA2YKfSLPDAug,3,1
autor::UCJp3OrVYcBorC94sKwdch_A,autor,@ULJoshmg2011,/@ULJoshmg2011,1,1.0,1.0,0.6,,,,UCJp3OrVYcBorC94sKwdch_A,1,1
autor::UCJxJC56BSAX-ArD0NAb9qnQ,autor,@alfonsowilian9157,/@alfonsowilian9157,1,1.0,1.0,-1.0,,,,UCJxJC56BSAX-ArD0NAb9qnQ,6,1
autor::UCKDR0f2fu2UzWL8mBv5-BHw,autor,@mireyamorales6595,/@mireyamorales6595,1,1.0,1.0,-1.0,,,,UCKDR0f2fu2UzWL8mBv5-BHw,1,1
autor::UCKVzDUqbtdSMBcexaEtMmzQ,autor,@rotorairgroup8409,/@rotorairgroup8409,1,1.0,1.0,0.0,,,,UCKVzDUqbtdSMBcexaEtMmzQ,7,1
autor::UCL13XhnRzbGokEkCkEOb0-g,autor,@raquelprado3643,/@raquelprado3643,2,1.0,1.0,0.0,,,,UCL13XhnRzbGokEkCkEOb0-g,1,1
autor::UCL1MT278vSaQ83ZDkVWn1gw,autor,@elmorodriguez6978,/@elmorodriguez6978,1,1.0,1.0,-1.0,,,,UCL1MT278vSaQ83ZDkVWn1gw,1,1
autor::UCLFdHr9BEbXHkoJopbEPLZw,autor,@kanterra4584,/@kanterra4584,2,1.0,1.0,0.0,,,,UCLFdHr9BEbXHkoJopbEPLZw,1,1
autor::UCLXYp1Cvc5DLtq5UQL5D9vw,autor,@jorgecifuentes-m5g,/@jorgecifuentes-m5g,1,1.0,1.0,0.0,,,,UCLXYp1Cvc5DLtq5UQL5D9vw,1,1
autor::UCLggDc_a5HriXv7I1h02sOA,autor,@guillermogonzalez5153,/@guillermogonzalez5153,2,1.0,1.0,0.0,,,,UCLggDc_a5HriXv7I1h02sOA,1,1
autor::UCLh1Kde4_vI1sTZBkTNP7RQ,autor,@JoelReynoso-d4r,/@JoelReynoso-d4r,1,1.0,1.0,0.0,,,,UCLh1Kde4_vI1sTZBkTNP7RQ,1,1
autor::UCN2N_wYOw6fMwCeSzdXLPIw,autor,@danielantoniogonzalezflore4901,/@danielantoniogonzalezflore4901,1,1.0,1.0,1.0,,,,UCN2N_wYOw6fMwCeSzdXLPIw,1,1
autor::UCN6qbfPSzFtjhqUDZ3Cv3CQ,autor,@carlosmedranovelasquez6380,/@carlosmedranovelasquez6380,1,1.0,1.0,0.0,,,,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,1
autor::UCNBnKqWf4d-rS4HwJRQljmQ,autor,@LE_A22,/@LE_A22,2,1.0,1.0,0.0,,,,UCNBnKqWf4d-rS4HwJRQljmQ,1,1
