author_channel_id,author_name,author_handle,comentarios,videos_unicos,canales_unicos,me_gusta_recibidos,respuestas_recibidas,sentimiento_medio
UC5hvEnRUzI4Kfvwnyi4QxqQ,@leonelsantizo5281,/@leonelsantizo5281,1,1,1,2,0,0.0
UC5wuDq3U3vRAhOQI3D7gNdw,@allanreneramirezgonzalez534,/@allanreneramirezgonzalez534,1,1,1,2,1,1.0
UC63tFvbQ_hJhGDi2nbjssjw,@AbigailRodas-w2r,/@AbigailRodas-w2r,1,1,1,2,0,0.0
UC650pRT-OYzny3GwOH8Cgfw,@edvinparedesherrera7632,/@edvinparedesherrera7632,1,1,1,1,0,0.0
UC6PvO1_k5lHKGdAPo5_C6TA,@johnmejia992,/@johnmejia992,1,1,1,1,0,0.0
UC6Uj1FT5JjDSF8vudvDxPAA,@alfredoortega9264,/@alfredoortega9264,1,1,1,1,0,0.0
UC6YSZqL0vEcI-niPKIMUGfw,@maxwellsales885,/@maxwellsales885,1,1,1,2,0,-1.0
UC6xI_MOaxajIWpoP8BH6E_Q,@jahirdiaz5862,/@jahirdiaz5862,1,1,1,0,0,0.0
UC7VUuJr9cGh845CmTvf7TlQ,@LuisCastillo-oz4df,/@LuisCastillo-oz4df,1,1,1,1,0,-1.0
UC7dadZG7kkGYnsNu6td0FbA,@lesolorzano,/@lesolorzano,1,1,1,18,0,0.0
UC816IGbFCZinfYS1LRDaaHg,@ingenieroar,/@ingenieroar,1,1,1,1,0,0.0
UC8F2V63KZ4ZEay6opX2hAQw,@carmenr6311,/@carmenr6311,1,1,1,0,0,0.0
UC8G5cJONY8L9voMyBW8Eoug,@luisparedes-pw6qt,/@luisparedes-pw6qt,1,1,1,0,0,0.0
UC8r11yOugM2NuRfitQOxLLg,@cesaraugustomoralesmonroy6907,/@cesaraugustomoralesmonroy6907,1,1,1,1,0,0.0
UC8xlJWNHz1V_W6q3fbuQH8g,@NormaLópez-v7e,/@NormaL%C3%B3pez-v7e,1,1,1,1,0,1.0
UC95PSMouTx2N5CbSq0hIyrQ,@lisss1908,/@lisss1908,1,1,1,0,0,0.0
UC9Wp6vL5oCU37qC3Aj94WZA,@ManuelSanchez-b8q2z,/@ManuelSanchez-b8q2z,1,1,1,0,0,1.0
UC9xr9QvIcDvoZNUX5f-jaZw,@MariaaliciaColonmorales,/@MariaaliciaColonmorales,1,1,1,0,0,0.0
UCA93ym2TXs_Ibyxb4Vcn-6Q,@oswaldosolis8728,/@oswaldosolis8728,1,1,1,0,0,0.0
UCAKuKvcbfnBD3kF5njNu-IA,@melvinlopez7096,/@melvinlopez7096,1,1,1,0,0,1.0
UCAV7QIjYhbDJaycQycM_0eQ,@mariavail8998,/@mariavail8998,1,1,1,3,0,0.0
UCAlzM_N6xBlMYmM8EBzX86Q,@carlossoto3252,/@carlossoto3252,1,1,1,3,0,1.0
UCAmtbUiIrUIhikru0ZoTFig,@Aura-vf6dm,/@Aura-vf6dm,1,1,1,7,0,0.0
UCB5p8a5gklc80jJItP6xTHg,@ernestogamboa8737,/@ernestogamboa8737,1,1,1,6,0,0.0
UCBtB5dIyx-C16UN8ClUD2UA,@alexmonzon4257,/@alexmonzon4257,1,1,1,0,0,0.0
UCCBYcToQ2dwkd6TJh0FSyDg,@lidiarodriguez3493,/@lidiarodriguez3493,1,1,1,0,0,0.0
UCCUmP4PlbwgikVFpYwbtRTg,@alhvi,/@alhvi,1,1,1,3,0,1.0
UCCaYwkkbQGcvFoUmothVdQQ,@OsvaldoAguirre-l3i,/@OsvaldoAguirre-l3i,1,1,1,0,0,1.0
UCDIMztpVm7G27qBuiWuT6oQ,@lizardomorataya8274,/@lizardomorataya8274,1,1,1,0,0,0.0
UCDPWkUX3sNNaCx-m1dV4glA,@hectoroliva949,/@hectoroliva949,1,1,1,0,0,-1.0
UCDQaQv0hr2SS_PO-CMEwVHg,@federicosaquimux1933,/@federicosaquimux1933,1,1,1,1,0,1.0
UCDUffaruH6dyUnUGwsTKpgg,@luisletona2842,/@luisletona2842,1,1,1,2,0,0.0
UCDftMWXQoJ6nONfY7GVOVjg,@luisgpacheco5858,/@luisgpacheco5858,1,1,1,0,0,0.0
UCDlr1VadSucIZgZ171pRBjQ,@cuabatzjj5924,/@cuabatzjj5924,1,1,1,0,0,0.0
UCDrmf9y9nLgFY5wnA2hTuGA,@laboratorio5528,/@laboratorio5528,1,1,1,1,0,1.0
